Experiment,Split,insect_0,insect_1,all_ap_0,all_ap_1
04_bright_and_sharp_10folds_yolov8s_1280_16_300_8_03_auto_val,8,ST,OI,"[0.9174987194345943, 0.9022644540928566, 0.8960700328287671, 0.8854620238007707, 0.8784545501476466, 0.8105370303403381, 0.6979106432382182, 0.49351165787614015, 0.14597665443305866, 0.009860983441030279]","[0.8022802690903652, 0.7783275830131245, 0.7783275830131245, 0.7564234643241959, 0.6949566519682701, 0.634233133657427, 0.5811064503531717, 0.307534624996484, 0.0773754085997333, 0.0]"
04_bright_and_sharp_10folds_yolov8s_1280_16_300_8_03_auto_val,9,ST,OI,"[0.9454867300565907, 0.9454867300565907, 0.9454867300565907, 0.9454867300565907, 0.9354873707894735, 0.8534157121887669, 0.756547621467611, 0.45147671670880973, 0.14558910351582613, 0.01007285330367899]","[0.911280802960752, 0.8882910043204819, 0.8464958523821031, 0.8290436121455318, 0.8016809245705909, 0.718768417782091, 0.6073609121295805, 0.4041276104971655, 0.16083679361067804, 0.018846540448742857]"
04_bright_and_sharp_10folds_yolov8s_1280_16_300_8_03_auto_val,10,ST,OI,"[0.9096061333738038, 0.9096061333738038, 0.9002783281127352, 0.8868817199948453, 0.8668753477610638, 0.8055843065554261, 0.6627226184185315, 0.41551354392388135, 0.18423130501607188, 0.02986052816435499]","[0.8950978836132575, 0.8862811226444238, 0.8862811226444238, 0.8648354089992292, 0.8387482768960438, 0.7810858267347647, 0.6324444909425359, 0.3798782780389104, 0.10638768497335141, 0.016950297218039156]"
05_crop_pest_10folds_yolov8s_1280_16_300_8_03_auto_val,1,pest,,"[0.8690404636645881, 0.861558135975853, 0.8545184162134967, 0.8484171519441428, 0.8184371097902743, 0.7522706202054754, 0.6638259381174358, 0.4545197873712019, 0.17508229901682898, 0.009783730617208879]",
05_crop_pest_10folds_yolov8s_1280_16_300_8_03_auto_val,2,pest,,"[0.8612529832893066, 0.8550135493729447, 0.8369964038111807, 0.8247037500672539, 0.8056868635795881, 0.7763973182230598, 0.6343484344727869, 0.39584803875689234, 0.12319630133269796, 0.014529368521549374]",
05_crop_pest_10folds_yolov8s_1280_16_300_8_03_auto_val,3,pest,,"[0.9245221425264194, 0.9218874354065135, 0.9141524498659727, 0.9025944047026823, 0.8742169907268899, 0.7929962962808287, 0.6807462566014919, 0.48753103020855626, 0.17668737318701372, 0.019029985035228764]",
05_crop_pest_10folds_yolov8s_1280_16_300_8_03_auto_val,4,pest,,"[0.9358054343770377, 0.9255872409368973, 0.9125282738083937, 0.8818543237372111, 0.8590394682974853, 0.7895408595803101, 0.6230469370362315, 0.3984060721800353, 0.1248878295176934, 0.010946809089721123]",
05_crop_pest_10folds_yolov8s_1280_16_300_8_03_auto_val,5,pest,,"[0.9303668989006176, 0.9274435740386453, 0.9271073205322435, 0.895121485071257, 0.8725934387042615, 0.7803315484661366, 0.6273168777702751, 0.41044999580060804, 0.12497234175636764, 0.006823088455772114]",
05_crop_pest_10folds_yolov8s_1280_16_300_8_03_auto_val,6,pest,,"[0.913961012030416, 0.9025359270411049, 0.8950060170029492, 0.8776164626538762, 0.8661105802271483, 0.8021836448541084, 0.7049238817808463, 0.4957977861962621, 0.1909414532387312, 0.017598042119896164]",
05_crop_pest_10folds_yolov8s_1280_16_300_8_03_auto_val,7,pest,,"[0.9663378123088632, 0.9610612645610571, 0.9550398438099534, 0.9362476169881233, 0.9215694197954771, 0.8701305646713003, 0.7144073013816246, 0.4596412718684345, 0.14686414141552878, 0.005955932611930701]",
05_crop_pest_10folds_yolov8s_1280_16_300_8_03_auto_val,8,pest,,"[0.9081790325380696, 0.9064011808586551, 0.899244634064007, 0.8762528312037277, 0.8471069056962384, 0.7822055161334596, 0.6940367958421494, 0.4880876658304735, 0.18655266370376009, 0.015049859381277621]",
05_crop_pest_10folds_yolov8s_1280_16_300_8_03_auto_val,9,pest,,"[0.9228648396152812, 0.9177763756843473, 0.9086953755024896, 0.892401057147564, 0.8539261603792057, 0.8073764092835153, 0.6982054959700119, 0.464853764477448, 0.15552624584723942, 0.028331834052165845]",
05_crop_pest_10folds_yolov8s_1280_16_300_8_03_auto_val,10,pest,,"[0.9526983236525658, 0.9475378663026391, 0.9316300621529626, 0.9161730790536136, 0.874755816090491, 0.8239673909877222, 0.6858550140268189, 0.44699054416519635, 0.1931900369356321, 0.015944812081727912]",
06_crop_st_10folds_yolov8s_1280_16_300_8_03_auto_val,1,ST,,"[0.9492558208548606, 0.9492558208548606, 0.9413018731022869, 0.9357807391972278, 0.8969779426264627, 0.8796406206729874, 0.80465342620343, 0.5606900582911298, 0.20408692579505092, 0.010393152542372882]",
06_crop_st_10folds_yolov8s_1280_16_300_8_03_auto_val,2,ST,,"[0.894839472519253, 0.8811925248947038, 0.8699239815164661, 0.8561307560088537, 0.843581043642484, 0.8046390928247356, 0.6666121600075268, 0.3933415781957452, 0.18991152046851972, 0.02828606117353308]",
06_crop_st_10folds_yolov8s_1280_16_300_8_03_auto_val,3,ST,,"[0.9128850772154932, 0.9128850772154932, 0.9093591614368378, 0.903462737430393, 0.8819302960687156, 0.8202237195020682, 0.7081625029115995, 0.5245387364561511, 0.1734247283245834, 0.018348158012200563]",
06_crop_st_10folds_yolov8s_1280_16_300_8_03_auto_val,4,ST,,"[0.9324745349570648, 0.9272746267467735, 0.9213671737951119, 0.9080465483499617, 0.8794450920128346, 0.7869139377694001, 0.6745582303260059, 0.40170386337467756, 0.10269901701303524, 0.0]",
06_crop_st_10folds_yolov8s_1280_16_300_8_03_auto_val,5,ST,,"[0.9278659518222663, 0.9251036262898837, 0.9177150439190402, 0.8979044908326638, 0.8680714984522553, 0.7300367026130354, 0.6078725345883599, 0.4223785252663206, 0.12478939389176794, 0.02225973185390661]",
06_crop_st_10folds_yolov8s_1280_16_300_8_03_auto_val,6,ST,,"[0.8883255363973643, 0.883521667928642, 0.8693822473388972, 0.8606965042476074, 0.8283306483835353, 0.7648379508184417, 0.6826689535855255, 0.3610391568638935, 0.13429937100858833, 0.0036963694618910195]",
06_crop_st_10folds_yolov8s_1280_16_300_8_03_auto_val,7,ST,,"[0.9388286215433627, 0.9388286215433627, 0.9388286215433627, 0.932685982731394, 0.9147947695580712, 0.8552841730390719, 0.7762956868973805, 0.4365902182703177, 0.13296632560956606, 0.005]",
06_crop_st_10folds_yolov8s_1280_16_300_8_03_auto_val,8,ST,,"[0.9430074944023829, 0.9423294454134135, 0.9300704393448929, 0.8959769777553712, 0.8770459225433639, 0.8408367907378653, 0.7454119196127008, 0.509457511113621, 0.1959958038077501, 0.023581615071088753]",
06_crop_st_10folds_yolov8s_1280_16_300_8_03_auto_val,9,ST,,"[0.9765803422509349, 0.9720617533023336, 0.9720617533023336, 0.9720617533023336, 0.9442738395221543, 0.8638100674854182, 0.6880406130447368, 0.47279776494479536, 0.12472846148186638, 0.011590000000000001]",
06_crop_st_10folds_yolov8s_1280_16_300_8_03_auto_val,10,ST,,"[0.9606735523630137, 0.9606735523630137, 0.9484832026882888, 0.9267229272172129, 0.891299374452826, 0.8360550357334258, 0.6470134208219013, 0.47488601601236125, 0.21305033899855336, 0.008539348888605552]",
07_crop_oi_10folds_yolov8s_1280_16_300_8_03_auto_val,1,,OI,,"[0.8512793757300547, 0.829278812926929, 0.8063084806387739, 0.8012811226669234, 0.7616575105845964, 0.7406784804654658, 0.5935032639107064, 0.38798272716560805, 0.09886506520896121, 0.00463368095456983]"
07_crop_oi_10folds_yolov8s_1280_16_300_8_03_auto_val,2,,OI,,"[0.7537036913990554, 0.7537036913990554, 0.7406606028964368, 0.7293629606766422, 0.6738088030765695, 0.6557300067313306, 0.587399581163537, 0.3036125789369059, 0.07553373342974518, 0.0]"
07_crop_oi_10folds_yolov8s_1280_16_300_8_03_auto_val,3,,OI,,"[0.9329297646502037, 0.9233810341386746, 0.9071922188129302, 0.8840765609180258, 0.8539997812600706, 0.7888459998268922, 0.7169505368066469, 0.48438752723109363, 0.1640232515583633, 0.020805915052689247]"
07_crop_oi_10folds_yolov8s_1280_16_300_8_03_auto_val,4,,OI,,"[0.9309493179415004, 0.9064526745470223, 0.8981387699264258, 0.8811794383662489, 0.8521880781833324, 0.8201766287109442, 0.7203229152148684, 0.46143311629660516, 0.11285128676670382, 0.009444444835350407]"
07_crop_oi_10folds_yolov8s_1280_16_300_8_03_auto_val,5,,OI,,"[0.9430406844957571, 0.9388157970710107, 0.9183911120607269, 0.9073397864591604, 0.8912928436446549, 0.7769243834285795, 0.648475162630272, 0.44879343100972235, 0.18572374267260003, 0.00610905942116821]"
07_crop_oi_10folds_yolov8s_1280_16_300_8_03_auto_val,6,,OI,,"[0.9161339910741239, 0.9100451622048868, 0.8995513686857086, 0.8938165162265252, 0.8392880641789807, 0.8085361723615655, 0.7170432094404005, 0.473667716003685, 0.1890330389771885, 0.012194835303144328]"
07_crop_oi_10folds_yolov8s_1280_16_300_8_03_auto_val,7,,OI,,"[0.9590701897271495, 0.9590701897271495, 0.9447846866287021, 0.9336097678032869, 0.9249132724445863, 0.8629349462292909, 0.7406896724489849, 0.5275544844772619, 0.2281965784330099, 0.03944275582573456]"
07_crop_oi_10folds_yolov8s_1280_16_300_8_03_auto_val,8,,OI,,"[0.8137155869211601, 0.7931865545255856, 0.7828443087256629, 0.7649458672895526, 0.7481396463723061, 0.7268260976690814, 0.6079863727806027, 0.4279084625351946, 0.18081355235203672, 0.00465277777777778]"
07_crop_oi_10folds_yolov8s_1280_16_300_8_03_auto_val,9,,OI,,"[0.9160316037527295, 0.8975313041974579, 0.8709655748765055, 0.8647028012461397, 0.8273459836725261, 0.7804700899863889, 0.6309320015011832, 0.39911079069818123, 0.16891416139300128, 0.008979851611058435]"
07_crop_oi_10folds_yolov8s_1280_16_300_8_03_auto_val,10,,OI,,"[0.9463409513587696, 0.934035213906771, 0.9160169644474626, 0.8926615537917612, 0.8517792438191532, 0.7779908103011376, 0.627127474263365, 0.37455972508174346, 0.10028647082222507, 0.01170116578585069]"
