Experiment,Split,insect_0,insect_1,all_ap_0,all_ap_1
01_crop_10folds_yolov8s_1280_16_300_8_03_auto_noaug_val,7,ST,OI,"[0.8839638954082334, 0.8771274156848949, 0.8771274156848949, 0.8642279735606391, 0.857609365996281, 0.7961970547225444, 0.6066029496055688, 0.4898861409426278, 0.18714545393907217, 0.011309523809523808]","[0.9079829700025691, 0.9079829700025691, 0.9079829700025691, 0.8920924385775195, 0.8567126099119289, 0.7520664527144041, 0.5917464268201038, 0.32894621107851246, 0.17292607976529745, 0.026254166666666665]"
01_crop_10folds_yolov8s_1280_16_300_8_03_auto_noaug_val,8,ST,OI,"[0.8386868419594664, 0.8189583513572986, 0.8053247970242718, 0.7839493068836263, 0.7257522526132046, 0.6462692271878085, 0.5148786057827467, 0.32287682861943817, 0.09953209108528545, 0.01934473932500248]","[0.7362303737782466, 0.7190095381850401, 0.6999786009326574, 0.6780559744439353, 0.6172394392038698, 0.5863181648693678, 0.49499762323733587, 0.29701578567278497, 0.0903524906171958, 0.0]"
01_crop_10folds_yolov8s_1280_16_300_8_03_auto_noaug_val,9,ST,OI,"[0.8882426561293977, 0.8882426561293977, 0.8745460443164934, 0.8556072572471072, 0.8359298943595601, 0.7833957180318609, 0.5194888083037885, 0.301212872924851, 0.083665986652661, 0.00981337547408344]","[0.8027737196357125, 0.7597047198038083, 0.7417108220484832, 0.7288613356056712, 0.6967692432437598, 0.6518477202737958, 0.5133944783781184, 0.34216254541378166, 0.10873866894371068, 0.014805010792853639]"
01_crop_10folds_yolov8s_1280_16_300_8_03_auto_noaug_val,10,ST,OI,"[0.9035022687383911, 0.8943826182943552, 0.8673388512286702, 0.8476777524669523, 0.7521355926346215, 0.7154374161916897, 0.5418223722136991, 0.32963315622230904, 0.137980638150964, 0.023628544113069267]","[0.8719925078816562, 0.8719925078816562, 0.8666339254690526, 0.831291289155383, 0.7461310331012503, 0.6709394801865147, 0.5111687148539911, 0.33933525451720625, 0.10491312714640981, 0.005686728723404255]"
02_bright_10folds_yolov8s_1280_16_300_8_03_auto_val,1,ST,OI,"[0.9573107655529057, 0.9573107655529057, 0.9573107655529057, 0.9371349432426131, 0.9322118021638595, 0.8709676965875894, 0.7639502126987554, 0.4853907615899937, 0.20882173140527222, 0.008879361914257228]","[0.8558223396898518, 0.8403610113851727, 0.8168442741652819, 0.8006969551474628, 0.7652871732432058, 0.7210290700719884, 0.6118178640241039, 0.4158877878263075, 0.1554122303162153, 0.011851472415465678]"
02_bright_10folds_yolov8s_1280_16_300_8_03_auto_val,2,ST,OI,"[0.9108629597569973, 0.9082546548393043, 0.8813618131807858, 0.8703380848700446, 0.841465488401399, 0.7891197285175767, 0.6496495257159701, 0.47951998536977336, 0.2057634027605115, 0.029602821210564265]","[0.7532123704820318, 0.7532123704820318, 0.741148464448869, 0.6976812298703776, 0.6890046342623519, 0.6623716941341373, 0.551912943678667, 0.3618973106644837, 0.11852540540540539, 0.022384528301886794]"
02_bright_10folds_yolov8s_1280_16_300_8_03_auto_val,3,ST,OI,"[0.9277129478605081, 0.9277129478605081, 0.9277129478605081, 0.9134764661489353, 0.8915464044478373, 0.8313190307696889, 0.7075113170602568, 0.5065433144179535, 0.14153521545657605, 0.019058903115663675]","[0.9251746943230751, 0.9169415583475167, 0.8968010616107485, 0.8743883838718575, 0.8433960049419316, 0.7914253546867672, 0.681000437615719, 0.4461438157987404, 0.21782777682912685, 0.022532075213675215]"
02_bright_10folds_yolov8s_1280_16_300_8_03_auto_val,4,ST,OI,"[0.9166826692304988, 0.9015417957924731, 0.8933526715867344, 0.8693223973143501, 0.8441335158655475, 0.7529118456688946, 0.5878820201638766, 0.4185772878357822, 0.15489580137117165, 0.007874856870229006]","[0.9243359276465148, 0.916600609434651, 0.9026192893011474, 0.8894087233369863, 0.8556941360327698, 0.8128142698323536, 0.7528979798818127, 0.48349827555634756, 0.15792942195205, 0.009063503332367431]"
02_bright_10folds_yolov8s_1280_16_300_8_03_auto_val,5,ST,OI,"[0.9434883880819849, 0.9364090848818387, 0.9267500889866894, 0.9176971083583431, 0.8712162681506738, 0.8161297355658176, 0.645337814712792, 0.3508229097862836, 0.12355617003102956, 0.007854399431414355]","[0.9664111378480903, 0.9630734093124157, 0.9490806320549737, 0.9368689966702368, 0.8981566321193706, 0.8198770319035391, 0.6837578039595573, 0.3917909106458745, 0.09287018810107732, 0.008545037822452434]"
02_bright_10folds_yolov8s_1280_16_300_8_03_auto_val,6,ST,OI,"[0.9270385445960309, 0.9126594457363217, 0.8883123713224785, 0.8883123713224785, 0.8600475495388629, 0.7974990907870333, 0.6581098902144896, 0.41560630328510095, 0.15297836630196043, 0.010812220354087996]","[0.9279046939980757, 0.9275811371774163, 0.9169726935940553, 0.9169726935940553, 0.8824174266840595, 0.8150118671155934, 0.7423439503590915, 0.5565553664348557, 0.22499794495334385, 0.018054296767831594]"
